RewardID,RankingBegin,RankingEnd,MasterReward,RechargeCoin,RechargeCoinPercent,Money2Reward,ConstMoney1Reward,RedbegReward,RewardItem1Id,RewardItem1Num,RewardItem2Id,RewardItem2Num,RewardItem3Id,RewardItem3Num,RewardInfo
奖励ID,名次前区间闭,名次后区间开,大师分奖励,钻石奖励,钻石奖池奖励百分比,金币奖励,钻石保底奖励,红包奖励,道具1ID,道具1数量,道具2ID,道具2数量,道具3ID,道具3数量,奖励信息
1000,1,1,3,800,0,0,0,0.1,1000,1,1001,1,0,0,800钻石
1000,2,2,2,500,0,0,0,0,1000,1,1001,2,0,0,500钻石
1000,3,3,1,300,0,0,0,0,1000,1,1001,3,0,0,300钻石
1000,4,6,0,100,0,0,0,0,1000,1,1001,4,0,0,100钻石
1001,1,1,5,0,30,100,2000,0.3,0,0,0,0,0,0,30%奖池奖励（保底2000）+100金币+3元现金红包
1001,2,2,3,0,25,0,0,0.2,0,0,0,0,0,0,25%奖池奖励+2元现金红包
1001,3,3,1,0,15,0,0,0.1,0,0,0,0,0,0,15%奖池奖励+1元现金红包
1001,4,7,0,0,10,0,0,0,0,0,0,0,0,0,10%奖池奖励
1001,7,12,0,0,5,0,0,0,0,0,0,0,0,0,5%奖池奖励
1002,1,1,4,0,0,0,0,0.1,0,0,0,0,0,0,10元现金红包，大师分x4
1002,2,2,2,0,0,0,0,0.06,0,0,0,0,0,0,6元现金红包，大师分x2
1002,3,3,1,0,0,0,0,0.04,0,0,0,0,0,0,4元现金红包，大师分x1
1002,4,6,0.5,0,0,0,0,0.02,0,0,0,0,0,0,2元现金红包，大师分x0.5
1002,7,12,0.2,0,0,0,0,0.01,0,0,0,0,0,0,2元现金红包，大师分x0.2
1003,1,1,4,0,0,0,0,0.1,0,0,0,0,0,0,10元现金红包，大师分x4
1003,2,2,2,0,0,0,0,0.06,0,0,0,0,0,0,6元现金红包，大师分x2
1003,3,4,1,0,0,0,0,0.04,0,0,0,0,0,0,4元现金红包，大师分x1
1003,5,8,0.5,0,0,0,0,0.02,0,0,0,0,0,0,2元现金红包，大师分x0.5
1003,9,16,0.2,0,0,0,0,0.01,0,0,0,0,0,0,1元现金红包，大师分x0.2
1004,1,1,20,0,0,0,0,0.1,0,0,0,0,0,0,100元现金红包，大师分x20
1004,2,2,14,0,0,0,0,0.05,0,0,0,0,0,0,50元现金红包，大师分x14
1004,3,3,12,0,0,0,0,0.03,0,0,0,0,0,0,30元现金红包，大师分x12
1004,4,6,8,0,0,0,0,0.02,0,0,0,0,0,0,20元现金红包，大师分x8
1004,7,12,4,0,0,0,0,0.015,0,0,0,0,0,0,15元现金红包，大师分x4
1004,13,24,2,0,0,0,0,0.01,0,0,0,0,0,0,10元现金红包，大师分x2
1004,25,48,1,0,0,0,0,0.005,0,0,0,0,0,0,5元现金红包，大师分x1
1004,49,100,0.5,0,0,0,0,0.002,0,0,0,0,0,0,2元现金红包，大师分x0.5
1005,1,1,20,0,0,0,0,0.1,0,0,0,0,0,0,100元现金红包，大师分x20
1005,2,2,14,0,0,0,0,0.05,0,0,0,0,0,0,50元现金红包，大师分x14
1005,3,4,12,0,0,0,0,0.03,0,0,0,0,0,0,30元现金红包，大师分x12
1005,5,8,8,0,0,0,0,0.02,0,0,0,0,0,0,20元现金红包，大师分x8
1005,9,16,4,0,0,0,0,0.015,0,0,0,0,0,0,15元现金红包，大师分x4
1005,17,32,2,0,0,0,0,0.01,0,0,0,0,0,0,10元现金红包，大师分x2
1005,33,64,1,0,0,0,0,0.005,0,0,0,0,0,0,5元现金红包，大师分x1
1006,1,2,50,0,0,0,0,0.1,0,0,0,0,0,0,50大师分，100红包
1006,3,4,30,0,0,0,0,0.05,0,0,0,0,0,0,30大师分，50红包
1007,1,1,0,50,0,0,0,0,0,0,0,0,0,0,50钻石
1007,2,2,0,30,0,0,0,0,0,0,0,0,0,0,30钻石
1007,3,3,0,20,0,0,0,0,0,0,0,0,0,0,20钻石
1007,4,10,0,10,0,0,0,0,0,0,0,0,0,0,10钻石
1007,11,20,0,5,0,0,0,0,0,0,0,0,0,0,5钻石
9999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,暂无奖励信息
