AssetBundleID,AssetbundleName,URL,Version,Info
AB包ID,AB包名字,AB包下载地址,AB包版本号,AB包描述信息
1000,hall,http://192.166.0.172/Luancher/,10002,大厅资源
1001,csv,http://192.166.0.172/Luancher/,10000,csv数据表
1010,car.resource,http://192.166.0.172/Luancher/,10002,车行资源
1011,car.scene,http://192.166.0.172/Luancher/,10000,车行场景
1020,diu.resource,http://192.166.0.172/Luancher/,10000,丢丢了资源
1021,diu.scene,http://192.166.0.172/Luancher/,10000,丢丢乐场景
1030,slots.resource,http://192.166.0.172/Luancher/,10000,拉霸资源
1031,slots.scene,http://192.166.0.172/Luancher/,10000,拉霸场景
1040,forestparty.resource,http://192.166.0.172/Luancher/,10000,舞会资源
1041,forestparty.scene,http://192.166.0.172/Luancher/,10000,舞会场景
